Hora;Satelites;Latitud;Longitud;Velocidad_GPS;Velocidad_Moto;Altitud;Accel_X;Accel_Y;RPM;TPS;Temperatura_Motor;Carga_Motor;Calidad;Bateria;Distancia;Pulsador;Distancia_Parcial;Promedio_Velocidad;Promedio_Aceleracion;Consumo_L_H;Consumo_Acumulado_L;KmL_Instantaneo;KmL_Promedio
8:53:33;14;6.380594;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:33;14;6.380594;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:33;14;6.380594;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:33;14;6.380594;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:33;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:33;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:34;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:34;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:34;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:34;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:34;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:34;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:34;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:34;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:34;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:34;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:35;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:35;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:35;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:35;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:35;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:35;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:35;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:35;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:35;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:35;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:35;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:36;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:36;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:36;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:36;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:36;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:36;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:36;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:36;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:36;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:37;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:37;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:37;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:37;15;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.25;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:37;14;6.380595;-75.470437;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:37;15;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.25;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:37;14;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:37;14;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:37;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:37;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:38;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:38;14;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:38;14;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:38;14;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:38;14;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:38;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:38;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:38;14;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:38;14;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:38;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:39;14;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:39;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:39;14;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:39;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:39;14;6.380595;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:39;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:39;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:39;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:39;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:39;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:40;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:40;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:40;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:40;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:40;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:40;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:40;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:40;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:40;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.28;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:40;13;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.35;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:41;14;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.30;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:41;13;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.35;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
8:53:41;13;6.380596;-75.470438;0.00;0;1409;0.020;0.000;0;0;0;0;1.35;100;0.00;0;0.00;0.00;0.020;0.00;0.0094;0.00;0.00
